AR,0.0816,1.349280156,0.292067838,0.340387965,0.568627725,0.087258788,0.135293787,2.149054238,0.2921,0.2241
CA,0.0744,1.380515787,0.127822129,0.177761414,0.609047539,0.142271186,0.034528284,2.287926361,0.2921,0.2241
CT,0.1048,1.392696341,0.281579263,0.273747044,0.593512351,0.026297243,0.259946619,1.911866819,0.2921,0.2241
GA,0.0917,1.392544994,0.187787459,0.195015324,0.575871359,0.084609759,0.145141299,2.12036898,0.2921,0.2241
IL,0.0729,1.303608645,0.244377844,0.198429386,0.645512344,0.127489896,0.042184306,2.211787174,0.25,0.2
IN,0.072,1.354509877,0.28988332,0.206204991,0.639377734,0.148663841,0.034716891,2.234659469,0.25,0.2
MA,0.1005,1.417999763,0.17476696,0.17476696,0.586554207,0.082800401,0.142096116,2.11291266,0.2921,0.2241
MI,0.0609,1.404832681,0.202827823,0.214216064,0.554872197,0.166135578,0.053893374,2.353383842,0.2921,0.2241
MN,0.0927,1.336641454,0.249978904,0.176759277,0.655600113,0.10581744,0.069560982,2.152152197,0.25,0.2
NJ,0.0918,1.387720107,0.192856256,0.218757332,0.586072542,0.097499058,0.106666427,2.181100278,0.2921,0.2241
OH,0.0688,1.373603565,0.192992236,0.177595626,0.534581379,0.085274497,0.202925823,2.057028185,0.2921,0.2241
OR,0.0724,1.328540015,0.174505498,0.174505498,0.554549608,0.010034259,0.356842736,1.7865351,0.2921,0.2241
WI,0.0811,1.40888877,0.304711717,0.22159461,0.673235493,0.157195545,0.01701877,2.211539951,0.25,0.2
CO,0.0923,1.274418448,0.293554369,0.300135357,0.695070006,0.091650184,0.038738013,2.149053024,0.25,0.2
NY,0.0732,1.261520588,0.164534893,0.18978761,0.695608466,0.115026202,0.018082695,2.177808877,0.25,0.2
PA,0.0762,1.257166603,0.252290856,0.185716012,0.622840048,0.082911633,0.130414936,2.091776806,0.25,0.2
TX,0.0837,1.22486452,0.167801009,0.203459896,0.697393744,0.08646474,0.034652324,2.151922561,0.25,0.2
AL,0.08,1.431975901,0.262282307,0.165627537,0.653376096,0.167070037,0.022992381,2.232662932,0.25,0.2
FL,0.0741,1.479218598,0.225157616,0.207520807,0.525702491,0.129747235,0.136751105,2.210522932,0.2921,0.24
IA,0.0789,1.429187973,0.246411386,0.324124486,0.571157843,0.13407329,0.066397825,2.290838494,0.2921,0.24
MS,0.0756,1.442559948,0.317254643,0.322514878,0.531347003,0.105441586,0.159565623,2.150708342,0.2921,0.24
TN,0.0837,1.464012814,0.192653016,0.192653016,0.542615107,0.105625461,0.150145118,2.154830434,0.2921,0.24
VA,0.098,1.602724044,0.183381833,0.198151684,0.619115453,0.178874951,0.024169994,2.290061696,0.2921,0.24
NC,0.0852,1.531420798,0.268479202,0.162224005,0.537539585,0.113822062,0.20782886,2.044246475,0.2921,0.2241
WA,0.082,1.4878839,0.177660618,0.177660618,0.593366132,0.169586208,0.037696832,2.311319708,0.2921,0.2241
MD,0.0874,1.656256166,0.149699269,0.149699269,0.504157073,0.118797534,0.177450209,2.15027254,0.2921,0.28
